,w1-01,w1-11,w1-21,w1-31,w1-41,w1-51,w1-61,w1-02,w1-12,w1-22,w1-32,w1-42,w1-52,w1-62,w1-03,w1-13,w1-23,w1-33,w1-43,w1-53,w1-63,w1-04,w1-14,w1-24,w1-34,w1-44,w1-54,w1-64,w1-05,w1-15,w1-25,w1-35,w1-45,w1-55,w1-65,w1-06,w1-16,w1-26,w1-36,w1-46,w1-56,w1-66,w2-01,w2-11,w2-21,w2-31,w2-41,w2-51,w2-61,w2-02,w2-12,w2-22,w2-32,w2-42,w2-52,w2-62,w2-03,w2-13,w2-23,w2-33,w2-43,w2-53,w2-63,w2-04,w2-14,w2-24,w2-34,w2-44,w2-54,w2-64,w2-05,w2-15,w2-25,w2-35,w2-45,w2-55,w2-65,w2-06,w2-16,w2-26,w2-36,w2-46,w2-56,w2-66
F1,1.533,0.025,-0.103,-0.394,-0.500,-1.130,0.000,-0.688,-0.002,0.716,-0.578,1.077,0.046,0.000,0.626,-2.219,0.929,-0.315,0.740,0.351,0.000,1.761,-0.618,-0.250,0.248,-0.510,0.058,0.000,-0.421,-0.052,0.424,0.784,-0.221,-0.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.502,1.819,-2.182,3.150,1.897,0.286,-0.233,0.535,-1.841,2.084,-2.997,-2.009,-0.121,0.559,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
F2,-1.154,-0.476,0.190,-0.580,0.834,0.941,0.000,-1.123,-0.112,1.183,1.085,-0.294,-0.170,0.000,1.931,-0.304,-1.213,-1.049,0.864,0.010,0.000,1.521,-1.655,-0.696,-0.417,0.724,0.780,0.000,0.813,-0.295,0.058,0.754,-0.386,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,-2.360,-1.780,1.514,2.601,2.061,0.670,0.219,1.773,1.849,-2.290,-2.163,-2.242,-0.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
F3,-1.185,1.657,0.834,0.772,-1.245,0.937,-0.455,0.945,-2.760,-1.317,-0.283,1.460,-0.387,0.299,0.699,0.656,-0.250,-0.169,0.295,-0.770,-0.690,-0.308,0.757,0.360,0.698,-0.317,0.145,0.352,-1.116,-0.027,-0.806,1.030,-0.326,0.440,-0.535,0.163,1.892,0.918,-0.063,-1.209,0.282,-0.201,0.673,-2.244,2.927,0.111,-0.460,-0.580,-1.742,-0.747,2.026,-3.061,-0.032,0.934,0.870,1.344,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
F4,1.300,-1.011,-0.786,-0.331,-0.317,-0.141,0.579,0.126,0.438,0.698,0.340,-0.201,1.094,0.377,0.033,0.393,-0.281,0.847,0.893,0.602,0.174,-0.493,-0.868,0.802,-0.983,-0.498,-0.758,0.551,0.561,0.685,0.848,-0.714,0.916,0.302,-0.588,0.652,0.445,-0.706,-0.908,-0.992,0.820,-0.799,1.212,1.117,-1.607,-0.462,1.083,-0.683,0.440,-0.264,-1.912,0.766,0.359,-0.390,0.759,-1.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
F5,0.561,-0.295,-1.094,-0.383,-0.215,-0.798,-0.306,-1.365,-0.096,-0.608,-1.331,-0.472,-0.400,0.974,1.432,1.452,-0.646,1.626,1.114,-0.908,-0.589,-0.950,-0.082,-0.182,-1.597,-0.831,0.595,1.058,1.715,-0.598,-0.966,8.174,0.482,0.833,-3.044,-1.476,0.133,-0.615,-1.078,-0.167,0.737,0.037,0.718,-0.159,-1.653,2.522,-1.293,1.031,-1.250,-0.811,0.417,1.469,-2.315,1.587,-1.747,0.837,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
F6,0.459,0.623,-0.160,0.266,-0.082,0.558,0.454,1.437,-0.705,0.305,0.035,-0.063,-0.704,-0.367,-2.190,0.450,0.042,0.409,-0.832,0.451,-0.873,1.671,-0.674,-0.785,-0.337,-0.092,0.653,0.137,-0.482,0.510,-0.894,-1.188,0.424,-1.859,0.396,0.774,-0.759,0.261,0.903,0.763,-0.549,0.706,0.869,-1.519,1.402,-2.517,1.412,0.596,2.437,0.448,0.050,-1.713,2.758,-2.019,-0.655,-1.925,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
F7,0.957,-0.051,-0.217,0.499,0.446,0.708,-0.746,2.417,0.567,-0.603,-0.379,0.360,-0.805,0.042,-1.296,0.107,-0.236,0.248,0.599,1.041,-0.293,0.068,0.821,0.631,-0.046,-0.845,-0.383,0.167,0.413,-0.524,-0.552,-1.671,-2.315,13.052,-0.248,1.508,-0.363,-0.564,0.629,0.544,-0.102,0.015,0.900,-0.707,2.975,-1.688,-1.383,-0.335,2.212,0.411,-0.282,-3.023,2.372,0.938,-0.246,-2.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
F8,1.833,0.022,0.077,-0.234,-0.070,-1.044,0.010,-1.690,-0.086,1.107,0.080,-0.570,0.403,0.117,1.075,-0.285,-0.195,0.070,0.052,-0.561,-0.310,0.185,0.032,-0.537,-0.340,-1.055,0.268,0.761,0.353,-0.008,0.663,2.004,4.135,4.507,-0.745,0.383,0.244,-0.470,0.132,0.788,-1.081,-0.943,-0.634,2.228,-1.931,1.346,1.946,-0.545,2.443,-0.885,-2.108,2.999,-1.443,-1.171,0.970,-1.384,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
F9,-0.522,-0.333,-0.888,-0.141,-0.043,0.332,0.535,0.453,-0.219,-0.562,-0.836,0.852,0.585,0.939,1.421,-0.332,-0.320,-0.751,-0.657,-0.266,-0.057,1.805,-0.884,-0.255,0.154,0.576,0.396,1.487,0.092,0.258,0.740,-10.217,-12.157,-2.190,5.568,-2.359,0.932,-0.448,0.152,-0.325,0.078,-1.313,0.115,1.661,1.795,0.952,1.952,0.775,-3.286,0.646,-0.149,-1.539,-2.058,-2.695,-0.542,2.518,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
F10,0.471,-0.356,1.561,-1.047,-0.768,0.257,-0.762,0.541,0.413,0.531,1.140,0.038,0.255,0.121,0.646,0.683,0.570,-0.734,0.883,0.275,0.459,0.981,1.839,-1.070,1.438,1.122,-1.618,0.794,-0.111,-0.649,0.842,12.953,16.277,2.637,0.825,-0.224,-1.219,1.098,-0.937,-0.804,1.240,0.133,0.191,-1.472,0.567,-0.759,2.921,1.241,-1.974,0.462,1.633,-0.924,0.133,-3.265,-0.878,1.565,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
F11,-0.966,0.182,0.496,-0.259,1.181,-1.139,-2.517,0.517,0.959,-0.952,-0.709,-1.355,-0.578,1.800,0.701,-0.974,-0.001,0.053,0.953,0.102,0.405,-0.488,-1.500,0.683,-1.330,-1.061,0.840,2.031,-0.464,-0.124,0.253,-0.919,0.214,0.956,-0.445,0.614,1.674,-0.787,-1.235,-1.395,-1.064,0.839,-0.169,2.966,-1.342,0.104,-2.292,0.801,-1.743,0.121,-2.144,1.972,-0.963,2.964,-0.771,1.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
